product_code,size_id
M5039C,33
M5039C,34
M9697C,20
M9697C,21
M9697C,22
M9697C,23
M9697C,24
M9697C,25
M9697C,26
M9697C,27
M9697C,28
M9697C,29
M9697C,30
M9697C,31
M9697C,32
M9697C,33
M9697C,34
M7652C,20
M7652C,21
M7652C,22
M7652C,24
M7652C,25
M7652C,26
M7652C,27
M7652C,28
M7652C,29
M7652C,30
M7652C,31
M7652C,32
M7652C,33
M7652C,34
M3310C,20
M3310C,21
M3310C,22
M3310C,23
M3310C,24
M3310C,25
M3310C,26
M3310C,27
M3310C,28
M3310C,29
M3310C,30
M3310C,31
M3310C,32
M3310C,34
M9622C,20
M9622C,21
M9622C,22
M9622C,23
M9622C,24
M9622C,25
M9622C,26
M9622C,27
M9622C,28
M9622C,29
M9622C,30
M9622C,31
M9622C,32
M9622C,33
M9622C,34
M9621C,20
M9621C,21
M9621C,22
M9621C,23
M9621C,24
M9621C,25
M9621C,26
M9621C,27
M9621C,28
M9621C,29
M9621C,30
M9621C,31
M9621C,32
M9621C,33
M9621C,34
M7650C,20
M7650C,21
M7650C,22
M7650C,23
M7650C,25
M7650C,26
M7650C,27
M7650C,28
M7650C,29
M7650C,30
M7650C,31
M7650C,32
M7650C,33
M7650C,34
M9160C,20
M9160C,21
M9160C,22
M9160C,23
M9160C,24
M9160C,25
M9160C,26
M9160C,27
M9160C,28
M9160C,29
M9160C,30
M9160C,31
M9160C,32
M9160C,33
M9160C,34
M9160C,35
M9160C,36
10018853-A02,2
10018853-A02,3
10018853-A02,4
10018853-A02,5
10018853-A02,6
10020856-A01,2
10020856-A01,3
10020856-A01,4
10020856-A01,5
10020856-A01,6
10020856-A02,2
10020856-A02,3
10020856-A02,4
10020856-A02,5
10020856-A02,6
10020849-A01,2
10020849-A01,3
10020849-A01,4
10020849-A01,5
10020849-A01,6
10019604-A02,2
10019604-A02,3
10019604-A02,4
10019604-A02,5
10019604-A02,6
10019604-A03,3
10019604-A03,4
10019604-A03,5
10019604-A03,6
10019604-A01,2
10019604-A01,3
10019604-A01,4
10019604-A01,5
10019604-A01,6
10018841-A04,2
10018841-A04,3
10018841-A04,4
10018841-A04,5
10018841-A04,6
10018841-A03,2
10018841-A03,3
10018841-A03,4
10018841-A03,5
10018841-A03,6
10008476-A19,37
10018940-A01,0
10018940-A01,1
10018940-A01,2
10018940-A07,0
10018940-A07,1
10018940-A07,2
10017759-A04,0
10017759-A04,1
10017759-A04,2
10017759-A03,0
10017759-A03,1
10017759-A03,2
10019896-A03,3
10019896-A03,4
10019896-A03,5
10019896-A02,2
10019896-A02,3
10019896-A02,4
10019896-A02,5
10019896-A01,2
10019896-A01,3
10019896-A01,4
10019896-A01,5
10018568-A02,2
10018568-A02,3
10018568-A02,4
10018568-A02,5
10018568-A02,6
10018568-A01,2
10018568-A01,3
10018568-A01,4
10018568-A01,5
10018568-A01,6
10019895-A02,2
10019895-A02,3
10019895-A02,4
10019895-A02,5
10019895-A02,6
10019895-A01,2
10019895-A01,3
10019895-A01,4
10019895-A01,5
10019895-A01,6
10007887-A03,2
10007887-A03,3
10007887-A03,4
10007887-A03,5
10007887-A03,6
10020394-A01,38
10020394-A02,38
10018901-A01,37
10018896-A02,37
10018896-A01,37
10018969-A01,37
10018968-A01,37
10017263-A09,37
10018985-A01,37
10018468-A01,38
10018446-A03,37
10018973-A01,37
10018972-A01,37
10018975-A01,37
10018446-A01,37
10017263-A01,37
10017262-A01,37
10017261-A01,37
10017015-A02,37
10008476-A02,37
10008476-A01,37
10017015-A05,37
10007887-A04,2
10007887-A04,3
10007887-A04,4
10007887-A04,5
10007887-A04,6
10007887-A01,3
10007887-A01,4
10007887-A01,5
10007887-A01,6
10008505-A01,37
10007784-A01,37
10008276-A01,37
10018334-A02,37
10018334-A01,37
10018446-A02,37
10000998-A22,37
10001016-A22,38
10018448-A01,37
10018457-A02,37
10018451-A01,37
10017895-A03,38
767576C,10
767576C,11
767576C,12
767576C,13
767576C,14
3J235C,38
3J256C,15
3J256C,16
3J256C,17
3J256C,18
3J256C,19
3J236C,15
3J236C,16
3J236C,17
3J236C,18
3J236C,19
3J232C,15
3J232C,16
3J232C,17
3J232C,18
3J232C,19
3J253C,15
3J253C,16
3J253C,17
3J253C,18
3J253C,19
3J231C,15
3J231C,16
3J231C,17
3J231C,18
3J231C,19
767559C,10
767559C,11
767559C,12
767559C,13
767559C,14
767560C,10
767560C,11
767560C,12
767560C,13
767560C,14
667557C,15
667557C,16
667557C,17
667557C,18
667557C,19
667558C,15
667558C,16
667558C,17
667558C,18
667558C,19
767899C,10
767899C,11
767899C,12
767899C,13
767899C,14
767531C,10
767531C,11
767531C,12
767531C,13
767531C,14
768147C,10
768147C,11
768147C,12
768147C,13
768147C,14
768146C,10
768146C,11
768146C,12
768146C,13
768146C,14
368145C,15
368145C,16
368145C,17
368145C,18
368145C,19
368144C,15
368144C,16
368144C,17
368144C,18
368144C,19
663635C,15
663635C,16
663635C,17
663635C,18
663635C,19
767338C,10
767338C,11
767338C,12
767338C,13
767338C,14
766892C,10
766892C,11
766892C,12
766892C,13
766892C,14
766889C,10
766889C,11
766889C,12
766889C,13
766889C,14
767205C,10
767205C,11
767205C,12
767205C,13
767205C,14
767203C,10
767203C,11
767203C,12
767203C,13
767203C,14
866933C,5
866933C,6
866933C,7
866933C,8
865158C,5
865158C,6
865158C,7
865158C,8
865160C,5
865160C,6
865160C,7
865160C,8
865157C,5
865157C,6
865157C,7
865157C,8
865156C,5
865156C,6
865156C,7
865156C,8
763537C,9
763537C,10
763537C,11
763537C,12
763537C,13
763537C,14
763536C,9
763536C,10
763536C,11
763536C,12
763536C,13
763536C,14
663634C,15
663634C,16
663634C,17
663634C,18
663634C,19
